Player Name,Accurate Long Balls,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Attack,Big Chances Created,Big Chances Missed,Blocked Shots,Catches,Clean Sheets,Clearances,Clearances Off Line,Club,Cross Accuracy %,Crosses,Defence,Discipline,Duels Lost,Duels Won,Errors Leading To Goal,Fouls,Goal Kicks,Goalkeeping,Goals,Goals Conceded,Goals From Freekick,Goals Per Match,Goals With Header,Goals With Left Foot,Goals With Right Foot,Headed Clearance,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Losses,Offsides,Own Goals,Passes,Passes Per Match,Penalties Saved,Penalties Scored,Position,Punches,Recoveries,Red Cards,Saves,Shooting Accuracy %,Shots,Shots On Target,Successful 50/50s,Sweeper Clearances,Tackle Success %,Tackles,Team Play,Through Balls,Throw Outs,Wins,Yellow Cards
Rolando Aarons,7,9,6,14,1,,1,0,2,0,0,11,0,Newcastle United,18,17,,,53,42,1,10,,0,2,0,0,0.14,1,1,0,6,0,1,7,0,9,0,0,156,11.14,0,0,Midfielder,0,34,0,0,22,9,2,10,0,63,16,,0,0,3,2
Tammy Abraham,,0,0,7,0,,1,2,4,0,0,6,0,Swansea City,,5,,,,,0,4,,0,1,0,0,0.14,0,0,1,4,0,0,0,0,2,7,0,70,10,0,0,Forward,0,,0,0,20,10,2,0,0,,5,,0,0,1,0
Charlie Adam,784,148,216,196,25,,39,6,118,0,0,221,0,Stoke City,23,880,,,1012,955,3,326,,0,33,0,2,0.17,2,28,3,85,0,8,201,0,78,2,0,7102,36.23,0,11,Midfielder,0,1000,3,0,28,403,113,156,0,79,304,,61,0,64,46
Adrián,862,0,0,106,0,0,0,0,0,50,29,,0,West Ham United,,,,,,,7,4,989,,0,138,0,0,0,0,0,0,136,0,0,0,38,0,0,2621,24.73,5,0,Goalkeeper,44,,2,367,,0,0,0,84,,0,,0,433,38,7
Ibrahim Afellay,72,20,15,43,2,,4,2,12,0,0,13,0,Stoke City,16,83,,,134,137,0,22,,0,2,0,0,0.05,1,0,1,5,0,0,15,0,16,4,0,1463,34.02,0,0,Midfielder,0,197,1,0,20,45,9,0,0,80,30,,4,0,17,3
Benik Afobe,,0,0,50,3,,2,18,9,0,0,30,0,AFC Bournemouth,,8,,,,,0,39,,0,10,0,0,0.2,3,3,4,24,0,2,7,0,24,24,0,546,10.92,0,0,Forward,0,,0,0,44,55,24,0,0,,15,,0,0,16,1
Sergio Agüero,,0,0,186,31,,43,94,159,0,0,7,0,Manchester City,,143,,,,,0,130,,0,127,0,0,0.68,10,23,94,3,0,18,57,0,33,147,0,4484,24.11,0,18,Forward,0,,1,0,42,725,306,0,0,,118,,0,0,117,17
Daniel Agyei,,0,0,3,0,,0,0,0,0,0,0,0,Burnley,,0,,,,,0,1,,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,4,1.33,0,0,Midfielder,0,,0,0,2,2,0,0,0,,0,,0,0,0,0
Soufyan Ahannach,0,0,0,0,0,,0,0,0,0,0,0,0,Brighton and Hove Albion,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Ahmed Hegazi,11,12,14,5,0,,0,0,0,0,3,37,0,West Bromwich Albion,0,0,,,16,19,1,2,,0,1,3,0,0,1,0,0,23,0,0,4,0,1,0,0,120,24,0,0,Defender,0,11,0,0,,0,0,0,0,75,4,,0,0,2,0
Nathan Aké,57,52,71,46,1,,3,0,5,0,10,182,2,AFC Bournemouth,15,48,,,119,215,0,37,,0,4,54,0,0,2,2,0,88,0,1,99,0,20,0,0,1336,29.04,0,0,Defender,0,159,1,0,,0,0,14,0,68,114,,1,0,21,6
Chuba Akpom,,0,0,4,0,,0,1,0,0,0,1,0,Arsenal,,1,,,,,0,1,,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,5,1.25,0,0,Forward,0,,0,0,100,2,2,0,0,,1,,0,0,2,0
Marc Albrighton,227,147,41,180,26,,42,12,55,0,0,117,0,Leicester City,21,1201,,,822,690,0,131,,0,13,0,1,0.07,0,2,11,19,0,4,202,0,68,12,0,3649,20.27,0,0,Midfielder,0,869,0,0,32,174,55,200,0,78,316,,10,0,61,22
Toby Alderweireld,632,132,146,99,2,,2,0,20,0,39,606,2,Tottenham Hotspur,21,38,,,238,320,1,34,,0,6,77,0,0,4,1,1,281,0,2,125,1,19,1,0,5100,51.52,0,0,Defender,0,435,0,0,,0,0,21,0,78,136,,4,0,56,10
Trent Alexander-Arnold,23,2,2,10,0,,1,0,1,0,0,19,0,Liverpool,25,24,,,20,21,0,3,,0,0,11,0,0,0,0,0,2,0,0,9,0,2,1,0,196,19.6,0,0,Defender,0,22,0,0,,0,0,4,0,62,13,,0,0,5,2
Allan,0,0,0,0,0,,0,0,0,0,0,0,0,Apollon Limassol,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Allan Nyom,106,41,36,69,4,,3,0,7,0,15,184,0,West Bromwich Albion,16,183,,,241,303,1,87,,0,0,77,0,0,0,0,0,82,0,0,124,0,29,2,0,1708,24.75,0,0,Defender,0,357,0,0,,0,0,60,0,82,165,,1,0,24,16
Joe Allen,425,132,60,168,6,,12,9,41,0,0,132,0,Stoke City,29,119,,,745,803,1,140,,0,14,0,0,0.08,2,4,8,47,0,0,266,0,55,1,0,7118,42.37,0,0,Midfielder,0,985,1,0,33,135,45,130,0,72,405,,24,0,67,21
Ryan Allsop,5,0,0,2,0,0,0,0,0,0,0,,0,Blackpool,,,,,,,0,0,13,,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,34,17,0,0,Goalkeeper,0,,0,4,,0,0,0,0,,0,,0,9,0,0
Marcos Alonso,110,83,129,61,4,,5,0,24,0,24,209,1,Chelsea,21,185,,,286,381,0,58,,0,9,58,0,0,1,7,1,97,0,4,107,0,14,5,0,2367,38.8,0,0,Defender,0,349,1,0,,0,0,47,0,74,146,,5,0,40,11
Daniel Amartey,41,36,35,30,1,,0,1,3,0,0,36,0,Leicester City,33,3,,,113,91,0,31,,0,1,0,0,0.03,1,0,0,19,0,0,27,0,13,0,0,855,28.5,0,0,Midfielder,0,161,0,0,40,15,6,3,0,61,44,,0,0,11,3
Luke Amos,0,0,0,0,0,,0,0,0,0,0,0,0,Southend United,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
