League,Goals Against,Team,GA Home,GA Away,GA First Half,GA Second Half,GA First 15 mins,GA Last 10 mins,GA Home Matches Scored In,GA Away Matches Scored In,GA Pld,GA Per Match,Season,KEY
Premier League,27,Manchester City,14,13,12,15,3,4,8,10,38,0.71,2017/18,Premier League|Manchester City|2017/18
Premier League,28,Manchester United,9,19,14,14,4,2,12,7,38,0.74,2017/18,Premier League|Manchester United|2017/18
Premier League,36,Tottenham Hotspur,16,20,17,19,8,10,10,6,38,0.95,2017/18,Premier League|Tottenham Hotspur|2017/18
Premier League,38,Chelsea,16,22,13,25,3,7,10,6,38,1,2017/18,Premier League|Chelsea|2017/18
Premier League,38,Liverpool,10,28,17,21,6,9,12,5,38,1,2017/18,Premier League|Liverpool|2017/18
Premier League,39,Burnley,17,22,12,27,4,8,7,5,38,1.03,2017/18,Premier League|Burnley|2017/18
Premier League,47,Newcastle United,17,30,19,28,3,7,7,2,38,1.24,2017/18,Premier League|Newcastle United|2017/18
Premier League,51,Arsenal,20,31,21,30,8,8,9,4,38,1.34,2017/18,Premier League|Arsenal|2017/18
Premier League,54,Brighton & Hove Albion,25,29,24,30,8,9,5,5,38,1.42,2017/18,Premier League|Brighton & Hove Albion|2017/18
Premier League,55,Crystal Palace,27,28,29,26,9,7,4,5,38,1.45,2017/18,Premier League|Crystal Palace|2017/18
Premier League,56,West Bromwich Albion,29,27,20,36,3,11,6,4,38,1.47,2017/18,Premier League|West Bromwich Albion|2017/18
Premier League,56,Swansea City,24,32,26,30,7,10,5,4,38,1.47,2017/18,Premier League|Swansea City|2017/18
Premier League,56,Southampton,26,30,28,28,6,9,3,5,38,1.47,2017/18,Premier League|Southampton|2017/18
Premier League,58,Everton,22,36,25,33,7,14,7,3,38,1.53,2017/18,Premier League|Everton|2017/18
Premier League,58,Huddersfield Town,25,33,19,39,3,6,7,3,38,1.53,2017/18,Premier League|Huddersfield Town|2017/18
Premier League,60,Leicester City,22,38,26,34,8,8,6,3,38,1.58,2017/18,Premier League|Leicester City|2017/18
Premier League,61,AFC Bournemouth,30,31,25,36,7,11,3,3,38,1.61,2017/18,Premier League|AFC Bournemouth|2017/18
Premier League,64,Watford,31,33,29,35,6,16,5,4,38,1.68,2017/18,Premier League|Watford|2017/18
Premier League,68,West Ham United,26,42,26,42,8,13,7,3,38,1.79,2017/18,Premier League|West Ham United|2017/18
Premier League,68,Stoke City,30,38,25,43,8,11,3,3,38,1.79,2017/18,Premier League|Stoke City|2017/18
Bundesliga,28,Bayern Munich,15,13,15,13,5,2,8,8,34,0.82,2017/18,Bundesliga|Bayern Munich|2017/18
Bundesliga,36,VfB Stuttgart,9,27,15,21,3,5,10,2,34,1.06,2017/18,Bundesliga|VfB Stuttgart|2017/18
Bundesliga,37,FC Schalke 04,15,22,18,19,4,6,7,6,34,1.09,2017/18,Bundesliga|FC Schalke 04|2017/18
Bundesliga,40,Werder Bremen,17,23,21,19,4,7,6,2,34,1.18,2017/18,Bundesliga|Werder Bremen|2017/18
Bundesliga,44,Bayer Leverkusen,19,25,20,24,7,6,6,4,34,1.29,2017/18,Bundesliga|Bayer Leverkusen|2017/18
Bundesliga,45,Eintracht Frankfurt,19,26,17,28,5,9,4,3,34,1.32,2017/18,Bundesliga|Eintracht Frankfurt|2017/18
Bundesliga,46,FC Augsburg,24,22,23,23,5,10,5,4,34,1.35,2017/18,Bundesliga|FC Augsburg|2017/18
Bundesliga,46,Hertha BSC,27,19,21,25,8,4,3,5,34,1.35,2017/18,Bundesliga|Hertha BSC|2017/18
Bundesliga,47,Borussia Dortmund,21,26,22,25,7,6,7,5,34,1.38,2017/18,Bundesliga|Borussia Dortmund|2017/18
Bundesliga,48,VfL Wolfsburg,25,23,23,25,3,6,2,6,34,1.41,2017/18,Bundesliga|VfL Wolfsburg|2017/18
Bundesliga,48,TSG 1899 Hoffenheim,16,32,16,32,5,12,8,2,34,1.41,2017/18,Bundesliga|TSG 1899 Hoffenheim|2017/18
Bundesliga,52,"Borussia M'gladbach",20,32,24,28,6,7,4,3,34,1.53,2017/18,"Bundesliga|Borussia M'gladbach|2017/18"
Bundesliga,52,1. FSV Mainz 05,21,31,28,24,7,8,5,2,34,1.53,2017/18,Bundesliga|1. FSV Mainz 05|2017/18
Bundesliga,53,RB Leipzig,26,27,25,28,8,5,3,3,34,1.56,2017/18,Bundesliga|RB Leipzig|2017/18
Bundesliga,53,Hamburger SV,19,34,23,30,6,8,6,1,34,1.56,2017/18,Bundesliga|Hamburger SV|2017/18
Bundesliga,54,Hannover 96,25,29,22,32,3,11,4,1,34,1.59,2017/18,Bundesliga|Hannover 96|2017/18
Bundesliga,56,SC Freiburg,17,39,23,33,8,13,7,2,34,1.65,2017/18,Bundesliga|SC Freiburg|2017/18
Bundesliga,70,1. FC Koln,30,40,26,44,7,11,3,2,34,2.06,2017/18,Bundesliga|1. FC Koln|2017/18
La Liga,22,Atletico Madrid,8,14,6,16,-,10,13,10,38,0.58,2017/18,La Liga|Atletico Madrid|2017/18
La Liga,29,Barcelona,11,18,13,16,4,2,10,9,38,0.76,2017/18,La Liga|Barcelona|2017/18
La Liga,33,Getafe,13,20,12,21,5,7,9,5,38,0.87,2017/18,La Liga|Getafe|2017/18
La Liga,38,Valencia,16,22,12,26,4,10,8,4,38,1,2017/18,La Liga|Valencia|2017/18
